ID,Genero,Casado,Edad,Graduado,Profesion,Experiencia laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos anuales brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente
CLI2,1,0,24,0,3,2,1,4,2000,2,13945,28,1.029,30,0,278
CLI3,0,1,42,1,4,0,2,3,1982,3,118107,35,1.79,30,0,455
CLI4,0,1,74,1,4,0,1,1,1950,1,53533,6,1.326,50,0,380
CLI5,1,1,74,1,8,0,0,2,1950,1,82273,14,0.779,50,1,387
CLI6,0,1,44,1,7,0,0,6,1980,1,90776,49,1.767,30,1,299
CLI7,1,1,62,0,0,0,2,2,1962,1,54280,32,1.15,30,0,278
CLI8,1,0,35,1,3,1,1,3,1989,3,20885,2,0.916,30,0,234
CLI9,0,0,36,1,3,1,1,3,1988,3,27840,21,1.56,30,0,540
CLI10,0,1,67,1,4,0,1,3,1957,1,93442,37,1.385,80,1,195
CLI11,0,1,61,1,0,0,2,4,1963,1,96524,9,1.385,80,0,483
CLI12,0,0,29,1,4,2,1,3,1995,3,20504,11,2.72,30,0,446
CLI13,1,0,21,0,3,2,1,4,2003,2,20827,46,2.202,30,1,319
CLI14,0,0,21,0,2,2,1,1,2003,2,13798,27,1.374,30,0,96
CLI15,1,1,77,0,8,0,1,1,1947,1,45283,39,1.228,30,0,437
CLI16,0,1,64,0,5,0,1,1,1960,1,124152,11,0.779,120,0,375
CLI17,0,0,45,0,3,0,1,2,1979,1,46553,14,0.801,30,0,409
CLI18,0,0,35,0,1,1,1,5,1989,3,30513,47,1.767,30,0,328
CLI19,1,0,34,0,3,1,1,6,1990,3,31841,20,1.606,30,1,223
CLI20,1,1,64,1,7,0,2,4,1960,1,67505,2,0.72,80,0,118
CLI21,0,1,87,1,0,0,0,1,1937,0,114299,25,0.759,50,0,156
CLI22,1,1,54,1,1,0,1,1,1970,1,123974,10,0.622,50,0,51
CLI23,0,0,20,0,3,2,1,4,2004,2,21211,42,2.651,30,0,216
CLI24,1,1,36,1,0,1,1,2,1988,3,24060,24,0.916,30,0,355
CLI25,0,0,40,1,0,1,1,2,1984,3,32294,0,1.077,30,1,135
CLI26,0,1,64,0,2,0,2,3,1960,1,62196,45,0.876,30,0,223
CLI27,1,1,62,0,0,0,2,3,1962,1,126060,11,1.737,200,1,295
CLI28,1,0,34,0,3,1,1,8,1990,3,18106,18,1.974,30,0,490
CLI29,1,1,54,1,0,0,2,3,1970,1,32830,49,0.72,30,0,190
CLI30,1,0,39,1,0,1,1,1,1985,3,29902,16,1.008,30,0,38
CLI31,0,0,39,0,0,1,1,4,1985,3,28830,15,1.146,30,1,373
CLI32,0,1,50,1,0,0,1,3,1974,1,109666,23,1.17,80,0,416
CLI33,0,1,46,0,5,0,1,2,1978,1,58123,1,0.72,30,0,421
CLI34,1,0,21,0,3,2,1,3,2003,2,16852,21,1.512,30,1,168
CLI35,1,0,29,0,1,2,1,1,1995,3,28710,48,2.823,30,0,219
CLI36,0,1,91,0,8,0,0,2,1933,0,82612,25,1.091,120,0,337
CLI37,0,0,30,1,3,2,1,4,1994,3,21099,3,1.261,30,0,152
CLI38,1,0,35,0,5,1,1,1,1989,3,21460,47,1.537,30,0,240
CLI39,0,1,31,0,3,2,2,5,1993,3,23394,1,1.054,30,0,325
CLI40,0,1,31,1,0,2,1,2,1993,3,22565,38,0.87,30,0,520
CLI41,1,1,62,1,0,0,2,2,1962,1,49475,6,1.6,50,0,493
CLI42,0,0,52,1,0,0,1,1,1972,1,63940,35,0.798,50,0,33
CLI43,0,0,24,0,3,2,1,2,2000,2,17510,41,2.996,30,1,337
CLI44,0,0,30,1,0,2,1,3,1994,3,22608,14,1.261,30,0,40
CLI45,0,1,54,1,0,0,1,2,1970,1,53294,42,0.896,50,1,389
CLI46,1,1,44,0,4,0,1,1,1980,1,25196,7,1.629,30,1,265
CLI47,0,1,87,0,8,0,0,2,1937,0,48021,47,1.385,30,0,223
CLI48,1,1,45,1,0,0,2,4,1979,1,64917,16,1.698,30,1,187
